Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
1288,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1289,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1290,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1291,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1292,00:00.0,"Johnson Creek (Johnson), Johnson, United States","Johnson, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1293,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1294,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1295,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1296,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1297,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1298,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1299,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1300,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
