Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
2058077,00:00.0,"Wyandotte Cave (Crawford), Wyandotte Caves State Recreation Area, Crawford, United States","Crawford, US.IN",Indiana,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2059081,00:00.0,"Wyandotte Cave (Crawford), Wyandotte Caves State Recreation Area, Crawford, United States","Crawford, US.IN",Indiana,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2059082,00:00.0,"Wyandotte Cave (Crawford), Wyandotte Caves State Recreation Area, Crawford, United States","Crawford, US.IN",Indiana,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2059092,00:00.0,"Wyandotte Cave (Crawford), Wyandotte Caves State Recreation Area, Crawford, United States","Crawford, US.IN",Indiana,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2059093,00:00.0,"Wyandotte Cave (Crawford), Wyandotte Caves State Recreation Area, Crawford, United States","Crawford, US.IN",Indiana,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2596604,00:00.0,"South Temple Cave (Berks), Berks, United States","Berks, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2596615,00:00.0,"Mansfield Dam (Travis), Travis, United States","Travis, US.TX",Texas,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2596618,00:00.0,"South Temple Cave (Berks), Berks, United States","Berks, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597000,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597001,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597002,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597003,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597004,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597005,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597006,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597007,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597008,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597009,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597010,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597011,00:00.0,"Allenwood (Union), Union, United States","Union, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597468,00:00.0,"Woodward Cave (Centre), Centre, United States","Centre, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2597469,00:00.0,"Woodward Cave (Centre), Centre, United States","Centre, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2599508,00:00.0,"South Temple Cave (Berks), Berks, United States","Berks, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2599758,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600558,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600634,00:00.0,"Durham Iron Mines (Bucks), Bucks, United States","Bucks, US.PA",Pennsylvania,Myotis septentrionalis,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600786,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600787,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600788,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600789,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600790,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600791,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600792,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600793,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600794,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600795,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2600796,00:00.0,"Aitkin Cave (Mifflin), Mifflin, United States","Mifflin, US.PA",Pennsylvania,Myotis septentrionalis,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
